Country Name,ISO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Males,Females,Latitude,Longitude,Basic water access,Basic sanitation,GDP (Millions),Continent Code,Continent Name
Bangladesh,BGD,117.8627,114.3411,110.7393,107.0746,103.3861,99.6862,95.9417,92.1939,88.4429,84.6909,80.9816,77.3063,73.6747,70.1019,66.6710,63.3850,60.2603,57.3289,54.5789,51.9761,49.4735,47.0616,44.7563,42.5636,40.5062,38.5760,36.7916,35.1211,33.5447,32.0696,30.6471,29.2903,27.9890,26.7354,25.5897,27.3218,23.7618,23.684994,90.356331,97.69796025,54.16469553,324239.1768,AS,Asia
Barbados,BRB,19.3215,18.7304,18.1125,17.4801,16.8253,16.1595,15.5195,14.9172,14.4001,13.9838,13.6722,13.4761,13.4011,13.4208,13.5406,13.7193,13.9318,14.1407,14.2975,14.3668,14.3533,14.2883,14.1781,14.0474,13.9297,13.8092,13.7037,13.5876,13.4544,13.2548,13.0064,12.7294,12.4107,12.0819,11.7411,12.7761,10.6276,13.193887,-59.543198,98.51445042,98.09246231,4365.5,NA,North america
Belarus,BLR,14.1822,13.6881,13.1865,12.7142,12.3477,12.1535,12.1210,12.1989,12.3187,12.4061,12.3733,12.1910,11.8481,11.3428,10.6958,9.9355,9.1438,8.3957,7.7303,7.1198,6.5435,5.9950,5.4771,4.9949,4.5625,4.1904,3.8782,3.6193,3.4024,3.2154,3.0447,2.8834,2.7239,2.5654,2.4219,2.6974,2.13,53.709807,27.953389,96.53472608,97.90431818,60258.23906,EU,Europe
Belgium,BEL,9.8304,9.5063,9.2125,8.9177,8.6250,8.3399,8.0557,7.7188,7.2940,6.8096,6.3208,5.8711,5.4911,5.1946,4.9659,4.7714,4.5924,4.4273,4.2771,4.1412,4.0276,3.9355,3.8542,3.7761,3.6999,3.6273,3.5565,3.4799,3.3883,3.2841,3.1711,3.0543,2.9408,2.8358,2.7352,3.0638,2.3892,50.503887,4.469936,100,100,515332.4996,EU,Europe
Belize,BLZ,40.6488,38.7518,36.8186,34.8977,32.9808,31.1710,29.4625,27.9236,26.4769,25.2329,24.1178,23.1455,22.2639,21.4378,20.6903,20.0141,19.4122,18.9045,18.4874,18.1380,17.8511,17.5761,17.2966,16.9872,16.6343,16.2075,15.7210,15.1611,14.5418,13.8728,13.1863,12.5004,11.8226,11.1857,10.5893,11.6044,9.5301,17.189877,-88.49765,98.40195463,88.21427557,1763.696119,NA,North america
Benin,BEN,116.4384,114.3548,112.2465,110.0771,107.8901,105.6613,103.4437,101.2437,99.0961,97.0715,95.1552,93.3248,91.5740,89.7519,87.9716,86.1167,84.2767,82.4213,80.6164,78.8983,77.2844,75.7795,74.4090,73.0984,71.8357,70.5855,69.3347,68.0606,66.7716,65.5184,64.2645,63.0393,61.7540,60.4147,59.0013,64.4235,53.2507,9.30769,2.315834,65.41412299,16.96288434,15651.54521,AF,Africa
Bhutan,BTN,108.5186,104.5279,100.5408,96.6161,92.7545,89.1103,85.5772,82.1565,78.8548,75.5846,72.3796,69.1846,66.1082,63.0961,60.2056,57.3928,54.6892,52.0869,49.5448,47.0444,44.5653,42.2142,39.9653,37.8427,35.8419,33.9839,32.3447,30.8816,29.6233,28.4833,27.3507,26.3806,25.5083,24.6964,23.8497,26.0418,21.5089,27.514162,90.433601,97.31322263,76.50655402,2409.262838,AS,Asia
Bolivia,BOL,97.9277,95.2399,92.4567,89.5998,86.7512,83.9178,81.1153,78.3248,75.5564,72.7743,69.9977,67.1935,64.3571,61.5015,58.6208,55.7664,53.0002,50.3053,47.7462,45.2900,42.9289,40.6921,38.5386,36.5084,34.5834,32.7461,31.0355,29.4097,27.8324,26.3765,25.0872,23.9248,22.9259,21.9973,21.1945,23.3431,18.8924,-16.290154,-63.588653,93.39007163,65.75642485,36688.8612,SA,South america
Bosnia and Herzegovina,BIH,24.0407,22.1417,20.4145,18.8271,17.3849,16.0768,14.8988,14.3535,13.5620,12.3675,11.6922,10.7654,10.1566,9.5921,9.0948,8.6921,8.4017,8.1939,8.0479,7.9193,7.7541,7.5177,7.2255,6.9005,6.5722,6.2674,6.0076,5.7989,5.6365,5.5148,5.4228,5.3398,5.2595,5.1695,5.0581,5.5211,4.5715,43.915886,17.679076,96.11389762,95,19788.42225,EU,Europe
Botswana,BWA,43.2506,41.1861,39.2794,37.6497,36.5818,36.1989,36.3667,36.8928,37.6499,38.4170,39.0860,37.1755,36.6312,35.7870,34.1816,32.0253,29.3831,27.4384,25.7704,24.2225,20.9677,20.0312,21.5741,22.5957,22.9274,24.5977,27.0831,26.9778,28.6131,30.9510,32.1070,33.0477,32.5323,32.3031,32.2555,35.3039,29.0506,-22.328474,24.684866,92.21356307,80.02624315,15781.73283,AF,Africa
Brazil,BRA,62.7116,60.5246,58.4207,56.4113,54.4230,52.4334,50.3460,48.1412,45.7647,43.3426,40.9036,38.5485,36.3260,34.2275,32.2182,30.3008,28.4597,26.7034,25.0233,23.4556,21.9778,20.6300,19.4393,18.3802,17.4729,16.6905,16.0158,15.4352,14.9322,14.4769,14.0464,14.6209,13.2295,12.8269,12.4478,13.8714,10.9174,-14.235004,-51.92528,100,90.07847103,1444733.259,SA,South america
Brunei,BRN,11.2089,10.7975,10.5068,10.3278,10.2495,10.2377,10.2575,10.2468,10.1579,9.9802,9.7201,9.4068,9.0770,8.7563,8.4634,8.2176,8.0160,7.8670,7.7585,7.6861,7.6472,7.6496,7.6795,7.7314,7.8133,7.9182,8.0567,8.2120,8.3882,8.5825,8.7825,8.9826,9.1859,9.3810,9.5527,10.4918,8.5552,4.535277,114.727669,100,93,12016.05667,AS,Asia
Bulgaria,BGR,15.8218,14.9671,14.2758,14.0069,14.2170,14.6672,15.0725,15.3249,15.4165,15.3951,15.3922,15.5336,15.6686,15.4999,14.9485,14.2741,13.7001,13.1879,12.5710,11.8036,11.0222,10.3514,9.8372,9.4977,9.2944,9.0831,8.7290,8.2536,7.7357,7.2408,6.8059,6.4523,6.1564,5.8874,5.6288,6.1861,5.0416,42.733883,25.48583,100,86.03496784,69105.10109,EU,Europe
Burkina Faso,BFA,104.7019,102.8997,101.3058,100.0080,99.0901,98.5381,98.3238,98.2118,98.0983,97.7794,97.1597,96.1908,94.9829,93.6931,92.3611,90.9774,89.4060,87.6688,85.6633,83.4027,80.8706,78.1937,75.4605,72.8680,70.4501,68.2065,66.2621,64.4450,62.7504,61.1048,59.5475,58.0119,56.6618,55.2967,53.9372,58.6926,49.0561,12.238333,-1.561593,47.21485446,21.6643726,17369.0593,AF,Africa
Burundi,BDI,107.0719,104.6593,103.5490,103.4693,104.1694,105.2289,106.2849,107.0469,107.2665,106.9633,106.0894,104.7343,102.9025,100.5493,97.9394,95.0591,92.0248,88.8661,85.6205,82.0653,78.1944,74.1620,70.0409,66.1694,62.5553,59.1711,56.0054,53.0943,50.4459,48.0381,45.9434,44.1871,42.6410,41.1682,39.8504,44.0373,35.4891,-3.373056,29.918886,62.20712225,45.72751068,3258.187233,AF,Africa
Cabo Verde,CPV,58.9535,56.4845,53.7375,50.9828,48.5536,46.6809,45.5549,45.0044,44.8354,44.6630,44.0139,42.5696,40.3244,37.3640,34.1305,31.0607,28.4244,26.3288,24.8920,24.0065,23.5523,23.3718,23.2687,23.0759,22.7072,22.1209,21.2885,20.2843,19.1603,17.9386,16.7138,15.5291,14.4723,13.5613,12.7898,13.9987,11.5326,15.1111,23.6167,88.76960642,79.11569269,1703.698677,AF,Africa
Cambodia,KHM,86.6700,85.6189,85.0598,84.7899,84.7104,84.6759,84.6886,84.8365,85.2674,85.8329,86.4092,86.7756,86.6351,85.6178,83.3198,79.1841,73.4663,67.2848,61.6970,56.9706,52.9079,49.4708,46.3988,43.3390,40.3295,37.4498,34.7249,32.2943,30.2621,28.5859,27.1714,25.8538,24.7690,23.7398,22.8336,25.5343,20.0276,12.565679,104.990963,71.21988497,68.76930002,25291.25143,AS,Asia
Cameroon,CMR,91.2078,88.3848,86.2202,84.7820,84.2074,84.3981,85.2158,86.4316,87.7902,88.9565,89.7939,90.2591,90.3320,89.9105,88.9333,87.4264,85.7139,83.7018,81.7006,79.7623,78.1422,76.3792,74.7751,72.9210,71.2714,68.8347,66.8793,64.5810,62.0117,59.8420,57.3478,55.4228,53.3778,51.5874,50.1733,55.1988,44.8125,7.369722,12.354722,65.72041818,44.63112443,39802.14757,AF,Africa
Canada,CAN,8.0150,7.7430,7.5036,7.2752,7.0449,6.8123,6.5846,6.3677,6.1596,5.9638,5.7818,5.6180,5.4769,5.3668,5.2918,5.2508,5.2337,5.2335,5.2347,5.2237,5.1950,5.1489,5.0889,5.0218,4.9560,4.8957,4.8411,4.7926,4.7414,4.6790,4.6064,4.5270,4.4409,4.3469,4.2455,4.5278,3.9447,56.130366,-106.346771,100,100,1643407.977,NA,North america
